TOKEN1,TOKEN2,DPR,INFL1,INFL2,INFL,IL
BNB,KEBAB,0.007178467,-7.16102E-05,0,1.000071615,-6.41048E-10
LAVA,USDT,0.007175545,0,0.000163528,1.000163528,-3.34215E-09
BNB,LTO,0.007136913,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,PMP,0.007044036,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,LIT,0.007035576,-7.16102E-05,0,1.000071615,-6.41048E-10
FIL,USDT,0.007013023,0,0.000163528,1.000163528,-3.34215E-09
BNB,ZIL,0.006945459,-7.16102E-05,0,1.000071615,-6.41048E-10
LTC,USDT,0.006934132,0,0.000163528,1.000163528,-3.34215E-09
BNB,SOUPS,0.006905304,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,IOTA,0.006843467,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,ITAM,0.006746678,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,BSCX,0.006537089,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,FRONT,0.006526436,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,HOO,0.006523053,0.000163528,0,0.999836498,-3.34215E-09
BNB,SOAK,0.006487068,-7.16102E-05,0,1.000071615,-6.41048E-10
BDIGG,BTC,0.006478013,0,4.82505E-05,1.00004825,-2.90999E-10
LAVA,WHT,0.006443685,0,0,1,0
BNB,DEGO,0.006440298,-7.16102E-05,0,1.000071615,-6.41048E-10
BIFI,BNB,0.006417737,0,-7.16102E-05,0.99992839,-6.41048E-10
BNB,DUSK,0.0063782,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,CROW,0.006253951,0.000163528,0,0.999836498,-3.34215E-09
BUSD,FOR,0.006182678,0.000163528,0,0.999836498,-3.34215E-09
BNB,REEF,0.006169693,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,CROW,0.006157298,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,TXL,0.006029098,0.000163528,0,0.999836498,-3.34215E-09
BNB,SOUP,0.005858787,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,COS,0.005792401,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,TWT,0.005781023,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,BONDLY,0.005665701,-7.16102E-05,0,1.000071615,-6.41048E-10
BANANA,BNB,0.005652364,0.014300481,-7.16102E-05,0.985830539,-2.54564E-05
BNB,SWAMP,0.005529345,-7.16102E-05,0.02283105,1.0229043,-6.41014E-05
BNB,BOR,0.005489577,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,PBTC,0.005480601,-7.16102E-05,0,1.000071615,-6.41048E-10
ARPA,BNB,0.00547523,0,-7.16102E-05,0.99992839,-6.41048E-10
BTD,BUSD,0.00542992,0,0.000163528,1.000163528,-3.34215E-09
BNB,ZEE,0.005421775,-7.16102E-05,0,1.000071615,-6.41048E-10
BTC,SWAMP,0.005407596,4.82505E-05,0.02283105,1.0227817,-6.34246E-05
ETH,USDT,0.00529038,0.00011554,0.000163528,1.000047983,-2.87781E-10
BNB,STEAM,0.005272171,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,DODO,0.005265927,-7.16102E-05,0,1.000071615,-6.41048E-10
DOT,USDT,0.005243999,0,0.000163528,1.000163528,-3.34215E-09
BNB,BOPEN,0.005214463,-7.16102E-05,0,1.000071615,-6.41048E-10
BAND,BNB,0.005203344,0,-7.16102E-05,0.99992839,-6.41048E-10
BUSD,ETH,0.005099375,0.000163528,0.00011554,0.999952019,-2.87781E-10
ALPHA,BNB,0.005050745,0,-7.16102E-05,0.99992839,-6.41048E-10
BNB,SWIRL,0.004932541,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,BTCST,0.004864781,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,TPT,0.004838212,0.000163528,0,0.999836498,-3.34215E-09
BNB,WATCH,0.004783963,-7.16102E-05,0.001425776,1.001497493,-2.79891E-07
BAT,BNB,0.004769895,0,-7.16102E-05,0.99992839,-6.41048E-10
BNB,TLM,0.00455764,-7.16102E-05,0,1.000071615,-6.41048E-10
PNG,USDT,0.00454749,0,0.000163528,1.000163528,-3.34215E-09
BUSD,LINA,0.004301625,0.000163528,0,0.999836498,-3.34215E-09
AVAX,PNG,0.004296703,0,0,1,0
ADA,USDT,0.004283796,0,0.000163528,1.000163528,-3.34215E-09
BBADGER,BTC,0.004270033,0,4.82505E-05,1.00004825,-2.90999E-10
BNB,MFRM,0.004209988,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,HPS,0.004143449,-7.16102E-05,0,1.000071615,-6.41048E-10
BEL,BNB,0.004124539,0,-7.16102E-05,0.99992839,-6.41048E-10
APE,BNB,0.003998979,0,-7.16102E-05,0.99992839,-6.41048E-10
LHB,USDT,0.003972005,0,0.000163528,1.000163528,-3.34215E-09
CAKE,SWAMP,0.003966125,0.003800358,0.02283105,1.018958643,-4.40899E-05
BTC,USDT,0.003901118,4.82505E-05,0.000163528,1.000115272,-1.66078E-09
BNB,USDT,0.003900484,-7.16102E-05,0.000163528,1.000235155,-6.91064E-09
BTC,BUSD,0.003894533,4.82505E-05,0.000163528,1.000115272,-1.66078E-09
BNB,LINK,0.003880749,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,XRP,0.003784887,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,WSOTE,0.003748896,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,BRY,0.00370842,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,RAMP,0.003692678,0.000163528,0,0.999836498,-3.34215E-09
BBOO,BTC,0.003649859,0.012283535,4.82505E-05,0.987913185,-1.84843E-05
BUNNY,,0.003567584,0,,#VALUE!,#VALUE!
BNB,ETH,0.003555427,-7.16102E-05,0.00011554,1.000187164,-4.37796E-09
BNB,BUSD,0.003505649,-7.16102E-05,0.000163528,1.000235155,-6.91064E-09
COMP,ETH,0.003416695,0,0.00011554,1.00011554,-1.66849E-09
BNB,TKO,0.003387208,-7.16102E-05,0,1.000071615,-6.41048E-10
BAKE,BUSD,0.003366193,0,0.000163528,1.000163528,-3.34215E-09
ADA,BNB,0.003353788,0,-7.16102E-05,0.99992839,-6.41048E-10
KEBAB,,0.003291749,0,,#VALUE!,#VALUE!
BAKE,BAT,0.003192334,0,0,1,0
BUSD,IOTX,0.003064619,0.000163528,0,0.999836498,-3.34215E-09
BNB,INJ,0.002937022,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,SXP,0.002848171,-7.16102E-05,0.001351351,1.001423063,-2.52779E-07
BAL,USDT,0.002825468,0,0.000163528,1.000163528,-3.34215E-09
MIR,UST,0.002819918,0,0.000163528,1.000163528,-3.34215E-09
MNFLX,UST,0.002786185,0,0.000163528,1.000163528,-3.34215E-09
MDX,WHT,0.002781287,0,0,1,0
BNB,UNFI,0.002749196,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,DOT,0.002674334,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,TYPH,0.002669267,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,HGET,0.002618691,-7.16102E-05,0.000862592,1.000934269,-1.09005E-07
BNB,UNI,0.002598157,-7.16102E-05,0.00105403,1.001125721,-1.58228E-07
MTSLA,UST,0.002579052,0,0.000163528,1.000163528,-3.34215E-09
NUTS,,0.002553336,0,,#VALUE!,#VALUE!
BHC,BNB,0.002527054,0,-7.16102E-05,0.99992839,-6.41048E-10
MAMZN,UST,0.002513324,0,0.000163528,1.000163528,-3.34215E-09
BNB,,0.002411686,-7.16102E-05,,#VALUE!,#VALUE!
BNB,BTC,0.002400682,-7.16102E-05,4.82505E-05,1.000119869,-1.79586E-09
MGOOGL,UST,0.002363616,0,0.000163528,1.000163528,-3.34215E-09
BNB,JULD,0.002362466,-7.16102E-05,0,1.000071615,-6.41048E-10
BTC,ETH,0.002345231,4.82505E-05,0.00011554,1.000067286,-5.65893E-10
BNB,SPONGE,0.002337278,-7.16102E-05,0,1.000071615,-6.41048E-10
USDT,YFI,0.002310116,0.000163528,0,0.999836498,-3.34215E-09
XVS,,0.0022659,0.002080208,,#VALUE!,#VALUE!
USDC,USDT,0.002174096,0.000163528,0.000163528,1,0
DAI,USDT,0.002161227,0.000163528,0.000163528,1,0
BAKE,BNB,0.0021398,0,-7.16102E-05,0.99992839,-6.41048E-10
SALPACA,,0.002136972,0,,#VALUE!,#VALUE!
SNX,USDT,0.002125787,0,0.000163528,1.000163528,-3.34215E-09
BUSD,USDT,0.002103776,0.000163528,0.000163528,1,0
BTC,TBTC,0.002090124,4.82505E-05,0,0.999951752,-2.90999E-10
BUSD,DOT,0.002079347,0.000163528,0,0.999836498,-3.34215E-09
BNB,HARD,0.002016648,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,DAI,0.001980359,0.000163528,0.000163528,1,0
BCH,BUSD,0.001975787,0,0.000163528,1.000163528,-3.34215E-09
BNB,VAI,0.001876249,-7.16102E-05,0.000163528,1.000235155,-6.91064E-09
BUSD,USDC,0.00181268,0.000163528,0.000163528,1,0
AVAX,USDT,0.001808863,0,0.000163528,1.000163528,-3.34215E-09
BNB,COM,0.00178644,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,XVS,0.001745002,-7.16102E-05,0.002080208,1.002151973,-5.7763E-07
BNB,HELMET,0.001726518,-7.16102E-05,0,1.000071615,-6.41048E-10
ADA,ETH,0.001671993,0,0.00011554,1.00011554,-1.66849E-09
BIFI,BUSD,0.001629666,0,0.000163528,1.000163528,-3.34215E-09
BNB,CTK,0.001615076,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,YFI,0.00157535,-7.16102E-05,0,1.000071615,-6.41048E-10
AVAX,ETH,0.0015741,0,0.00011554,1.00011554,-1.66849E-09
BETH,ETH,0.001540466,0.00011554,0.00011554,1,0
AVAX,LINK,0.00153251,0,0,1,0
ETH,,0.001519908,0.00011554,,#VALUE!,#VALUE!
AVAX,WBTC,0.001477161,0,0,1,0
LINK,USDT,0.001420287,0,0.000163528,1.000163528,-3.34215E-09
$MLP,3SNOB,0.001375474,0.000163528,0.000163528,1,0
BNB,EGLD,0.00132324,-7.16102E-05,0,1.000071615,-6.41048E-10
HPS,,0.001307536,0,,#VALUE!,#VALUE!
HPT,USDT,0.001276323,0,0.000163528,1.000163528,-3.34215E-09
HFIL,USDT,0.001251047,0,0.000163528,1.000163528,-3.34215E-09
USDT,,0.001231708,0.000163528,,#VALUE!,#VALUE!
BNB,GOLD,0.001223497,-7.16102E-05,0,1.000071615,-6.41048E-10
BUSD,,0.00121572,0.000163528,,#VALUE!,#VALUE!
AUTO,BNB,0.001172958,0.008749619,-7.16102E-05,0.991255284,-9.64294E-06
BNB,CAKE,0.001171262,-7.16102E-05,0.003800358,1.003872245,-1.86705E-06
ATOM,BNB,0.00112072,0,-7.16102E-05,0.99992839,-6.41048E-10
AAVE,USDT,0.00109176,0,0.000163528,1.000163528,-3.34215E-09
AVAX,DAI,0.001064211,0,0.000163528,1.000163528,-3.34215E-09
BNB,FIL,0.001057056,-7.16102E-05,0,1.000071615,-6.41048E-10
HLTC,USDT,0.001038909,0,0.000163528,1.000163528,-3.34215E-09
BTC,,0.001035111,4.82505E-05,,#VALUE!,#VALUE!
AVAX,UNI,0.0010288,0,0.00105403,1.00105403,-1.38726E-07
BUSD,VAI,0.00099311,0.000163528,0.000163528,1,0
$MLP,ACS4QUSD,0.000944428,0.000163528,0.000163528,1,0
ACS,BNB,0.000940981,0.005257623,-7.16102E-05,0.994698639,-3.53176E-06
HUSD,WHT,0.000879487,0,0,1,0
VAI,,0.000829241,0.000163528,,#VALUE!,#VALUE!
USDC,,0.000804935,0.000163528,,#VALUE!,#VALUE!
HDOT,USDT,0.000794907,0,0.000163528,1.000163528,-3.34215E-09
BUSD,UST,0.000767266,0.000163528,0.000163528,1,0
BNB,EOS,0.000739953,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,FUEL,0.000717314,-7.16102E-05,0.007867743,1.007939922,-7.81813E-06
AVAX,SNOB,0.000704439,0,0,1,0
USDT,WHT,0.000702155,0.000163528,0,0.999836498,-3.34215E-09
$MLP,4EPS,0.000698566,0.000163528,0.000163528,1,0
BNB,LTC,0.000655483,-7.16102E-05,0,1.000071615,-6.41048E-10
HBTC,USDT,0.000627349,0,0.000163528,1.000163528,-3.34215E-09
DAI,,0.000625088,0.000163528,,#VALUE!,#VALUE!
BHC,,0.000606432,0,,#VALUE!,#VALUE!
DOT,,0.000603261,0,,#VALUE!,#VALUE!
LTC,,0.000590408,0,,#VALUE!,#VALUE!
BETH,,0.000583971,0.00011554,,#VALUE!,#VALUE!
CAKE,OLD,0.00058176,0.003800358,0,0.99621403,-1.7985E-06
BNB,BUNNY,0.000562156,-7.16102E-05,0,1.000071615,-6.41048E-10
BTC,SXP,0.000531094,4.82505E-05,0.001351351,1.001303038,-2.11962E-07
AVAX,SUSHI,0.000526739,0,0.001915568,1.001915568,-4.57798E-07
$MLP,ACS4USD,0.00049549,0.000163528,0.000163528,1,0
$MLP,ACS4UST,0.000489738,0.000163528,0.000163528,1,0
BCH,,0.000484415,0,,#VALUE!,#VALUE!
ADA,,0.000467279,0,,#VALUE!,#VALUE!
RENBTC,,0.000452012,4.82505E-05,,#VALUE!,#VALUE!
HBCH,USDT,0.000438562,0,0.000163528,1.000163528,-3.34215E-09
LINK,,0.000412366,0,,#VALUE!,#VALUE!
HUSD,USDT,0.00037681,0,0.000163528,1.000163528,-3.34215E-09
$MLP,3EPS,0.000338224,0.000163528,0.000163528,1,0
UNI,USDT,0.000333615,0.00105403,0.000163528,0.999110436,-9.90035E-08
FIL,,0.000307794,0,,#VALUE!,#VALUE!
IBBNB,,0.000299794,0,,#VALUE!,#VALUE!
AVAX,COM,0.000299562,0,0,1,0
XRP,,0.000293733,0,,#VALUE!,#VALUE!
ETH,WHT,0.000275613,0.00011554,0,0.999884473,-1.66849E-09
BUSD,SXP,0.000259478,0.000163528,0.001351351,1.001187629,-1.76099E-07
IBBUSD,,0.000253436,0.000163528,,#VALUE!,#VALUE!
BAKE,,0.000243194,0,,#VALUE!,#VALUE!
ACS,SXP,0.000176091,0.005257623,0.001351351,0.996114159,-1.89483E-06
BNB,OLD,0.000153305,-7.16102E-05,0,1.000071615,-6.41048E-10
HBTC,WHT,0.000142304,0,0,1,0
BIFI,,0.00013738,0,,#VALUE!,#VALUE!
BNB,NAUT,-2.99795E-05,-7.16102E-05,0,1.000071615,-6.41048E-10
BITI,BNB,-2.99795E-05,0,-7.16102E-05,0.99992839,-6.41048E-10
BNB,ZEFI,-2.99795E-05,-7.16102E-05,0,1.000071615,-6.41048E-10
BNB,XTZ,-2.99795E-05,-7.16102E-05,0,1.000071615,-6.41048E-10
BCH,BNB,-2.99795E-05,0,-7.16102E-05,0.99992839,-6.41048E-10
BNB,VAPOR,-2.99795E-05,-7.16102E-05,0,1.000071615,-6.41048E-10
SXP,,-9.53613E-05,0.001351351,,#VALUE!,#VALUE!
ETH,SUSHI,-0.000129505,0.00011554,0.001915568,1.00179982,-4.04191E-07
BUSD,ZEFI,-0.000147533,0.000163528,0,0.999836498,-3.34215E-09
BUSD,OLD,-0.000147533,0.000163528,0,0.999836498,-3.34215E-09
BUSD,XBLZD,-0.000589984,0.000163528,0.03281664,1.032647773,-0.000128997
BBOO,BNB,-0.000662813,0.012283535,-7.16102E-05,0.987794779,-1.88505E-05
CAKE,,-0.000768252,0.003800358,,#VALUE!,#VALUE!
1INCH,BNB,-0.001269408,0.005146373,-7.16102E-05,0.994808733,-3.38622E-06
BBOO,BUSD,-0.001561664,0.012283535,0.000163528,0.988027064,-1.81355E-05
ACS,,-0.001791023,0.005257623,,#VALUE!,#VALUE!
BNB,EGG,-0.002107695,-7.16102E-05,0.025411602,1.025485037,-7.91589E-05
BUSD,EGG,-0.002224675,0.000163528,0.025411602,1.025243946,-7.76867E-05
ACS,ACSI,-0.002688659,0.005257623,0.007233163,1.001965207,-4.81808E-07
BNB,XBLZD,-0.002898797,-7.16102E-05,0.03281664,1.032890606,-0.000130892
BELT,BNB,-0.003362867,0.02326663,-7.16102E-05,0.977192415,-6.65342E-05
ACSI,,-0.003510081,0.007233163,,#VALUE!,#VALUE!
1INCH,,-0.004050169,0.005146373,,#VALUE!,#VALUE!
BBOO,,-0.008057248,0.012283535,,#VALUE!,#VALUE!
ALPACA,BNB,-0.008340616,0.016831304,-7.16102E-05,0.983376875,-3.51231E-05
BANANA,,-0.008682424,0.014300481,,#VALUE!,#VALUE!
SWAMP,,-0.011696797,0.02283105,,#VALUE!,#VALUE!
BUSD,SPACE,-0.016285509,0.000163528,0.062321188,1.062147497,-0.000454231
BNB,SPACE,-0.020641323,-7.16102E-05,0.062321188,1.062397266,-0.000457779
XBLZD,,-0.022503314,0.03281664,,#VALUE!,#VALUE!
